0		140
188	一帶	32
364	一路	31
86	不同	9
331	並將	10
61	並正	5
65	中心	25
4	中期	6
60	主要	15
2	九龍	5
8	事務	6
371	交流	6
132	交通	6
16	亦將	11
245	人力	5
33	人口老化	6
346	人士	12
290	人才	10
316	人民幣	5
274	今年	20
37	以來	8
211	以及	41
310	以外	5
215	企業	18
345	伙伴	9
162	估計	5
213	住宅	8
296	作為	11
314	使用	6
173	供應	19
23	促進	14
329	保育	8
239	保護	6
28	保障	7
284	修訂	7
197	健康	9
171	億元	18
76	優先	8
56	優勢	12
176	優化	16
181	優質	6
288	先導	10
46	免費	6
265	兒童	10
192	內地	18
180	全港	6
300	全球	10
254	全面	10
207	兩年	6
191	公共	12
231	公務員	5
320	公司	6
44	公屋	5
209	公營	8
324	公眾	12
236	共同	10
224	其中	12
190	其他	17
106	出售	6
219	分別	5
199	初創	8
297	利用	5
24	制定	16
260	制度	9
3	創意	6
216	創新	15
30	創科	13
311	加入	7
32	加強	40
333	勞工	7
222	包括	55
21	區內	5
112	區議會	6
206	十三	7
304	協助	16
351	協定	6
1	去年	23
140	參考	8
313	參與	19
275	及其	5
340	友善	6
268	取得	5
230	可以	15
47	可行性	8
250	合作	26
115	合適	6
152	同時	20
165	名額	13
78	吸引	14
143	商業	10
330	商貿	5
256	問題	16
361	啓德	7
322	單位	17
376	因此	6
227	國家	28
91	國際	18
270	團體	7
277	土地	28
327	地位	6
128	地區	18
185	地方	7
87	城市	11
335	培育	6
282	培訓	13
161	基建	8
379	基礎設施	6
220	基金	21
332	增加	41
276	增至	5
309	增設	7
49	增長	5
214	多個	7
264	多元	7
223	多項	7
247	大型	7
82	大學	7
241	大嶼山	7
157	大量	5
149	如何	7
182	委員會	26
98	學年	6
194	學校	9
63	學生	12
341	安全	12
286	安排	11
305	安老	8
100	完善	5
280	完成	19
208	宣傳	7
334	家庭	5
158	實施	7
203	將在	11
196	將會	8
269	將軍	5
156	專業	20
318	專責	5
302	就業	10
80	居住	7
343	展開	7
243	工作	39
198	工業	5
14	工程	17
35	已於	10
111	已有	5
27	已經	6
168	市場	9
368	市民	19
15	平台	15
29	年底	5
38	年度	11
289	幼稚園	10
325	康復	6
195	廢物	6
381	建立	13
164	建築	6
105	建設	14
138	建議	29
42	建造業	8
69	引入	6
178	必須	6
85	意見	7
235	應對	6
187	應用	8
118	成為	10
39	成立	23
248	我們	9
113	房委會	5
374	房屋	20
81	所有	6
167	扶貧	7
378	技術	11
126	投資	13
347	持續	20
261	採用	6
201	探討	9
40	推出	23
104	推動	33
217	推展	8
298	推廣	13
22	推行	24
79	措施	26
83	提交	5
36	提供	65
312	提出	9
189	提升	21
92	提高	5
367	撥款	8
233	擁有	7
232	擴大	11
52	擴展	5
377	支持	14
344	支援	22
382	改善	25
306	政府	183
166	政策	18
117	教育	22
262	整體	8
148	數碼港	5
375	文化	8
13	新界	5
348	方便	7
360	方面	18
141	施政報告	6
108	旅遊	6
326	明年	5
67	智慧	6
88	有利	5
59	有助	6
295	有關	12
9	服務	63
253	服務業	5
64	未來	20
107	本地	19
321	本屆	9
279	根據	7
200	條件	5
237	條例	5
229	業務	7
147	業界	10
45	樓面	5
77	標準	7
285	樞紐	7
103	模式	8
150	機會	5
266	機構	19
183	機遇	7
153	檢討	22
7	此外	12
62	殘疾	5
293	水平	6
354	決定	9
139	決心	6
72	沿線	18
123	法定	5
365	津貼	11
339	活動	11
125	海外	9
204	減少	8
119	滿足	9
323	潛力	5
136	照顧	8
160	營運	5
68	爭取	9
319	物流	6
66	物色	5
95	特別	8
20	特區政府	5
301	現時	14
353	現有	7
137	現正	5
287	環保	5
120	環境	20
273	生活	10
116	生產總值	5
102	產品	7
358	產業	10
109	用地	16
257	用途	14
234	申請	8
31	當中	9
5	發展	97
359	盡快	11
43	目前	5
55	目標	8
142	相關	23
307	督導	7
51	研發	6
251	研究	38
308	確保	5
225	社區	14
380	社會	21
221	福利	6
283	私人	7
130	私營	10
193	科學	8
154	科局	5
278	科技	16
338	科研	6
96	租金	5
172	積極	28
356	空間	11
155	立法	5
12	立法會	5
244	競爭力	7
291	策略	22
177	管理	16
249	範圍	6
258	籌備	6
94	約個	13
210	組織	5
57	統籌	7
101	經濟	30
53	經貿	5
369	經驗	7
6	維修	5
90	網絡	6
133	繼續	40
240	考慮	7
34	聯繫	6
355	職位	6
48	能力	8
372	自年	6
303	致力	8
131	興建	11
281	航運	5
89	良好	5
263	萬個	7
159	落實	28
342	藍圖	7
25	處理	12
272	融資	7
350	行人	5
228	行政	6
294	要求	8
202	規劃	29
252	規管	8
352	解決	10
315	計劃	71
383	設施	19
18	設立	18
11	設計	8
362	評估	7
292	試驗	11
242	諮詢	13
271	護理	6
144	豐富	5
54	負責	5
114	貿易	12
10	資助	30
124	資格	10
179	資源	14
19	資訊	9
146	資金	7
336	質素	11
41	超過	21
328	輪候	5
17	辦公室	6
238	透過	8
349	逐步	13
366	這些	7
357	通過	5
317	進一步	21
110	進行	17
184	運輸	5
226	過去	13
370	選擇	5
